site,instrument,year,parameter,metric,metric_value_no TFEE adjustment,metric_value_TFEE adjusted,management_level_no TFEE adjustment,management_level_TFEE adjusted
Tsawwassen,PM25 SHARP5030,2013,pm25,pm25_24h,11,11,yellow,yellow
Tsawwassen,PM25 SHARP5030,2014,pm25,pm25_annual,4.7,4.7,yellow,yellow
Tsawwassen,PM25 SHARP5030,2014,pm25,pm25_24h,13,13,yellow,yellow
Tsawwassen,PM25 SHARP5030,2015,pm25,pm25_annual,5.2,5.2,yellow,yellow
Tsawwassen,PM25 SHARP5030,2015,pm25,pm25_24h,14,14,yellow,yellow
Tsawwassen,PM25 SHARP5030,2016,pm25,pm25_annual,4.5,4.5,yellow,yellow
Tsawwassen,PM25 SHARP5030,2016,pm25,pm25_24h,12,11,yellow,yellow
Tsawwassen,PM25 SHARP5030,2017,pm25,pm25_annual,4.5,4.4,yellow,yellow
Tsawwassen,PM25 SHARP5030,2017,pm25,pm25_24h,15,13,yellow,yellow
Tsawwassen,PM25 SHARP5030,2018,pm25,pm25_annual,4.6,4.2,yellow,yellow
Tsawwassen,PM25 SHARP5030,2018,pm25,pm25_24h,18,13,yellow,yellow
Tsawwassen,PM25 SHARP5030,2019,pm25,pm25_annual,4.9,4.4,yellow,yellow
Tsawwassen,PM25 SHARP5030,2019,pm25,pm25_24h,19,14,yellow,yellow
Valemount,PM25 SHARP5030,2017,pm25,pm25_annual,15.3,14.5,red,red
Valemount,PM25 SHARP5030,2017,pm25,pm25_24h,96,96,red,red
Valemount,PM25 SHARP5030,2018,pm25,pm25_annual,15.3,14.5,red,red
Valemount,PM25 SHARP5030,2018,pm25,pm25_24h,101,82,red,red
Valemount,PM25 SHARP5030,2019,pm25,pm25_24h,105,76,red,red
Vancouver Clark Drive,PM25 SHARP5030,2017,pm25,pm25_annual,8,7.5,orange,orange
Vancouver Clark Drive,PM25 SHARP5030,2017,pm25,pm25_24h,26,20,orange,orange
Vancouver Clark Drive,PM25 SHARP5030,2018,pm25,pm25_annual,8.2,7.5,orange,orange
Vancouver Clark Drive,PM25 SHARP5030,2018,pm25,pm25_24h,30,20,red,orange
Vancouver Clark Drive,PM25 SHARP5030,2019,pm25,pm25_annual,8.2,7.5,orange,orange
Vancouver Clark Drive,PM25 SHARP5030,2019,pm25,pm25_24h,31,21,red,orange
Vancouver International Airport 2,PM25 SHARP5030,2013,pm25,pm25_annual,4.2,4.2,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2013,pm25,pm25_24h,11,11,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2014,pm25,pm25_annual,5.3,5.3,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2014,pm25,pm25_24h,14,14,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2015,pm25,pm25_annual,6.2,6.2,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2015,pm25,pm25_24h,17,17,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2016,pm25,pm25_annual,5.8,5.8,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2016,pm25,pm25_24h,15,15,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2017,pm25,pm25_annual,5.7,5.6,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2017,pm25,pm25_24h,17,16,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2018,pm25,pm25_annual,6,5.6,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2018,pm25,pm25_24h,20,16,orange,yellow
Vancouver International Airport 2,PM25 SHARP5030,2019,pm25,pm25_annual,6.1,5.6,yellow,yellow
Vancouver International Airport 2,PM25 SHARP5030,2019,pm25,pm25_24h,21,17,orange,yellow
Vancouver Kitsilano,PM25_R&P_TEOM,2013,pm25,pm25_annual,4.9,4.9,yellow,yellow
Vancouver Kitsilano,PM25_R&P_TEOM,2013,pm25,pm25_24h,13,13,yellow,yellow
Vancouver Kitsilano,PM25_R&P_TEOM,2014,pm25,pm25_annual,5.3,5.3,yellow,yellow
Vancouver Kitsilano,PM25_R&P_TEOM,2014,pm25,pm25_24h,14,14,yellow,yellow
Vanderhoof Courthouse,BAM1020,2013,pm25,pm25_annual,10.8,10.8,red,red
Vanderhoof Courthouse,BAM1020,2013,pm25,pm25_24h,36,36,red,red
Vanderhoof Courthouse,BAM1020,2014,pm25,pm25_annual,11.3,11.1,red,red
Vanderhoof Courthouse,BAM1020,2014,pm25,pm25_24h,38,38,red,red
Vanderhoof Courthouse,BAM1020,2015,pm25,pm25_annual,10.6,10.4,red,red
Vanderhoof Courthouse,BAM1020,2015,pm25,pm25_24h,35,35,red,red
Vanderhoof Courthouse,BAM1020,2016,pm25,pm25_24h,32,32,red,red
Vanderhoof Courthouse,BAM1020,2017,pm25,pm25_24h,35,32,red,red
Vanderhoof Courthouse,BAM1020,2018,pm25,pm25_annual,13,NA,red,NA
Vanderhoof Courthouse,BAM1020,2018,pm25,pm25_24h,73,34,red,red
Vanderhoof Courthouse,BAM1020,2019,pm25,pm25_annual,15.2,10.1,red,red
Vanderhoof Courthouse,BAM1020,2019,pm25,pm25_24h,74,35,red,red
Vernon Science Centre,PM25 SHARP5030,2016,pm25,pm25_annual,8,7.4,orange,orange
Vernon Science Centre,PM25 SHARP5030,2016,pm25,pm25_24h,24,18,orange,yellow
Vernon Science Centre,PM25 SHARP5030,2017,pm25,pm25_24h,39,20,red,orange
Vernon Science Centre,PM25 SHARP5030,2017,pm25,pm25_annual,NA,7.6,NA,orange
Vernon Science Centre,PM25 SHARP5030,2018,pm25,pm25_annual,10.7,8,red,orange
Vernon Science Centre,PM25 SHARP5030,2018,pm25,pm25_24h,55,22,red,orange
Vernon Science Centre,PM25 SHARP5030,2019,pm25,pm25_annual,11.1,8.5,red,orange
Vernon Science Centre,PM25 SHARP5030,2019,pm25,pm25_24h,56,23,red,orange
Vernon Science Centre,PM25_R&P_TEOM,2013,pm25,pm25_annual,6.6,6.6,orange,orange
Vernon Science Centre,PM25_R&P_TEOM,2013,pm25,pm25_24h,16,16,yellow,yellow
Vernon Science Centre,PM25_R&P_TEOM,2014,pm25,pm25_annual,7.2,7.2,orange,orange
Vernon Science Centre,PM25_R&P_TEOM,2014,pm25,pm25_24h,18,17,yellow,yellow
Vernon Science Centre,PM25_R&P_TEOM,2015,pm25,pm25_annual,7.3,7.2,orange,orange
Vernon Science Centre,PM25_R&P_TEOM,2015,pm25,pm25_24h,18,17,yellow,yellow
Victoria Topaz,BAM1020,2013,pm25,pm25_annual,6.9,6.9,orange,orange
Victoria Topaz,BAM1020,2013,pm25,pm25_24h,20,20,orange,orange
Victoria Topaz,BAM1020,2014,pm25,pm25_annual,6.4,6.4,yellow,yellow
Victoria Topaz,BAM1020,2014,pm25,pm25_24h,19,19,yellow,yellow
Victoria Topaz,BAM1020,2015,pm25,pm25_annual,6.5,6.5,orange,orange
Victoria Topaz,BAM1020,2015,pm25,pm25_24h,20,20,orange,orange
Victoria Topaz,BAM1020,2016,pm25,pm25_annual,5.5,5.5,yellow,yellow
Victoria Topaz,BAM1020,2016,pm25,pm25_24h,15,15,yellow,yellow
Victoria Topaz,BAM1020,2017,pm25,pm25_annual,5.8,5.7,yellow,yellow
Victoria Topaz,BAM1020,2017,pm25,pm25_24h,17,17,yellow,yellow
Victoria Topaz,BAM1020,2018,pm25,pm25_annual,6.7,6.3,orange,yellow
Victoria Topaz,BAM1020,2018,pm25,pm25_24h,20,17,orange,yellow
Victoria Topaz,BAM1020,2019,pm25,pm25_annual,7.7,7.3,orange,orange
Victoria Topaz,BAM1020,2019,pm25,pm25_24h,22,19,orange,yellow
Whistler Meadow Park,BAM1020,2013,pm25,pm25_annual,5.8,5.8,yellow,yellow
Whistler Meadow Park,BAM1020,2013,pm25,pm25_24h,18,18,yellow,yellow
Whistler Meadow Park,BAM1020,2014,pm25,pm25_annual,5.2,5.2,yellow,yellow
Whistler Meadow Park,BAM1020,2014,pm25,pm25_24h,18,18,yellow,yellow
Whistler Meadow Park,BAM1020,2015,pm25,pm25_annual,6.3,5.7,yellow,yellow
Whistler Meadow Park,BAM1020,2015,pm25,pm25_24h,18,17,yellow,yellow
Whistler Meadow Park,BAM1020,2016,pm25,pm25_annual,6.7,6.1,orange,yellow
Whistler Meadow Park,BAM1020,2016,pm25,pm25_24h,17,17,yellow,yellow
Whistler Meadow Park,BAM1020,2017,pm25,pm25_annual,8.5,6.9,orange,orange
Whistler Meadow Park,BAM1020,2017,pm25,pm25_24h,41,18,red,yellow
Whistler Meadow Park,BAM1020,2018,pm25,pm25_annual,8.3,6.5,orange,orange
Whistler Meadow Park,BAM1020,2018,pm25,pm25_24h,56,18,red,yellow
Whistler Meadow Park,BAM1020,2019,pm25,pm25_annual,7.9,6,orange,yellow
Whistler Meadow Park,BAM1020,2019,pm25,pm25_24h,55,17,red,yellow
Whistler Meadow Park,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.4,3.4,green,green
Whistler Meadow Park,PM25_R&P_TEOM,2013,pm25,pm25_24h,10,10,green,green
Whistler Meadow Park,PM25_R&P_TEOM,2014,pm25,pm25_annual,3.4,3.4,green,green
Whistler Meadow Park,PM25_R&P_TEOM,2014,pm25,pm25_24h,11,11,yellow,yellow
Whistler Meadow Park,PM25_R&P_TEOM,2015,pm25,pm25_annual,4.1,3.5,yellow,green
Whistler Meadow Park,PM25_R&P_TEOM,2015,pm25,pm25_24h,11,11,yellow,yellow
Whistler Meadow Park,PM25_R&P_TEOM,2016,pm25,pm25_annual,4.4,3.5,yellow,green
Whistler Meadow Park,PM25_R&P_TEOM,2016,pm25,pm25_24h,12,11,yellow,yellow
Williams Lake CRD Library,PM25_R&P_TEOM,2013,pm25,pm25_annual,4.6,4.6,yellow,yellow
Williams Lake CRD Library,PM25_R&P_TEOM,2013,pm25,pm25_24h,15,15,yellow,yellow
Williams Lake Columneetza School,PM25 SHARP5030,2015,pm25,pm25_annual,8,7.6,orange,orange
Williams Lake Columneetza School,PM25 SHARP5030,2015,pm25,pm25_24h,26,23,orange,orange
Williams Lake Columneetza School,PM25 SHARP5030,2016,pm25,pm25_annual,7.3,7,orange,orange
Williams Lake Columneetza School,PM25 SHARP5030,2016,pm25,pm25_24h,22,20,orange,orange
Williams Lake Columneetza School,PM25 SHARP5030,2017,pm25,pm25_annual,10.9,6.3,red,yellow
Williams Lake Columneetza School,PM25 SHARP5030,2017,pm25,pm25_24h,78,17,red,yellow
Williams Lake Columneetza School,PM25 SHARP5030,2018,pm25,pm25_annual,13.7,7.1,red,orange
Williams Lake Columneetza School,PM25 SHARP5030,2018,pm25,pm25_24h,111,19,red,yellow
Williams Lake Columneetza School,PM25 SHARP5030,2019,pm25,pm25_annual,14.1,7.8,red,orange
Williams Lake Columneetza School,PM25 SHARP5030,2019,pm25,pm25_24h,112,20,red,orange
Williams Lake Columneetza School,PM25_R&P_TEOM,2013,pm25,pm25_annual,4.8,4.8,yellow,yellow
Williams Lake Columneetza School,PM25_R&P_TEOM,2013,pm25,pm25_24h,15,15,yellow,yellow
Williams Lake Columneetza School,PM25_R&P_TEOM,2014,pm25,pm25_annual,5.3,5,yellow,yellow
Williams Lake Columneetza School,PM25_R&P_TEOM,2014,pm25,pm25_24h,18,18,yellow,yellow
Williams Lake Columneetza School,PM25_R&P_TEOM,2015,pm25,pm25_annual,5.4,5.1,yellow,yellow
Williams Lake Columneetza School,PM25_R&P_TEOM,2015,pm25,pm25_24h,19,18,yellow,yellow
Abbotsford A Columbia Street,NA,2014,o3,o3_8h,50,50,green,green
Abbotsford A Columbia Street,NA,2015,o3,o3_8h,50,50,green,green
Abbotsford A Columbia Street,NA,2016,o3,o3_8h,49,49,green,green
Abbotsford A Columbia Street,NA,2017,o3,o3_8h,53,53,yellow,yellow
Abbotsford A Columbia Street,NA,2018,o3,o3_8h,58,58,orange,orange
Abbotsford A Columbia Street,NA,2019,o3,o3_8h,59,59,orange,orange
Abbotsford Central,NA,2013,o3,o3_8h,50,50,green,green
Abbotsford Central,NA,2014,o3,o3_8h,51,51,yellow,yellow
Abbotsford Central,NA,2015,o3,o3_8h,52,52,yellow,yellow
Abbotsford Central,NA,2016,o3,o3_8h,51,51,yellow,yellow
Abbotsford Central,NA,2017,o3,o3_8h,55,55,yellow,yellow
Abbotsford Central,NA,2018,o3,o3_8h,60,60,orange,orange
Abbotsford Central,NA,2019,o3,o3_8h,60,60,orange,orange
Agassiz Municipal Hall,NA,2015,o3,o3_8h,64,NA,red,NA
Agassiz Municipal Hall,NA,2016,o3,o3_8h,58,58,orange,orange
Agassiz Municipal Hall,NA,2017,o3,o3_8h,60,60,orange,orange
Agassiz Municipal Hall,NA,2018,o3,o3_8h,60,60,orange,orange
Agassiz Municipal Hall,NA,2019,o3,o3_8h,61,61,orange,orange
Burnaby Kensington Park,NA,2013,o3,o3_8h,42,42,green,green
Burnaby Kensington Park,NA,2014,o3,o3_8h,43,43,green,green
Burnaby Kensington Park,NA,2015,o3,o3_8h,44,44,green,green
Burnaby Kensington Park,NA,2016,o3,o3_8h,43,43,green,green
Burnaby Kensington Park,NA,2017,o3,o3_8h,45,45,green,green
Burnaby Kensington Park,NA,2018,o3,o3_8h,48,48,green,green
Burnaby Kensington Park,NA,2019,o3,o3_8h,49,49,green,green
Burnaby Mountain,NA,2013,o3,o3_8h,51,51,yellow,yellow
Burnaby Mountain,NA,2014,o3,o3_8h,52,52,yellow,yellow
Burnaby Mountain,NA,2015,o3,o3_8h,51,51,yellow,yellow
Burnaby Mountain,NA,2016,o3,o3_8h,50,50,green,green
Burnaby Mountain,NA,2017,o3,o3_8h,55,55,yellow,yellow
Burnaby Mountain,NA,2018,o3,o3_8h,58,58,orange,orange
Burnaby Mountain,NA,2019,o3,o3_8h,57,57,orange,orange
Burnaby South,NA,2013,o3,o3_8h,42,42,green,green
Burnaby South,NA,2014,o3,o3_8h,42,42,green,green
Burnaby South,NA,2015,o3,o3_8h,42,42,green,green
Burnaby South,NA,2016,o3,o3_8h,40,40,green,green
Burnaby South,NA,2017,o3,o3_8h,42,42,green,green
Burnaby South,NA,2018,o3,o3_8h,44,44,green,green
Burnaby South,NA,2019,o3,o3_8h,45,45,green,green
Castlegar Zinio Park,NA,2013,o3,o3_8h,50,50,green,green
Castlegar Zinio Park,NA,2014,o3,o3_8h,49,49,green,green
Castlegar Zinio Park,NA,2015,o3,o3_8h,48,48,green,green
Castlegar Zinio Park,NA,2016,o3,o3_8h,42,42,green,green
Castlegar Zinio Park,NA,2017,o3,o3_8h,45,45,green,green
Castlegar Zinio Park,NA,2018,o3,o3_8h,46,46,green,green
Castlegar Zinio Park,NA,2019,o3,o3_8h,50,50,green,green
Chilliwack Airport,NA,2013,o3,o3_8h,52,52,yellow,yellow
Chilliwack Airport,NA,2014,o3,o3_8h,52,52,yellow,yellow
Chilliwack Airport,NA,2015,o3,o3_8h,53,53,yellow,yellow
Chilliwack Airport,NA,2016,o3,o3_8h,52,52,yellow,yellow
Chilliwack Airport,NA,2017,o3,o3_8h,56,56,yellow,yellow
Chilliwack Airport,NA,2018,o3,o3_8h,59,59,orange,orange
Chilliwack Airport,NA,2019,o3,o3_8h,61,61,orange,orange
Colwood City Hall,NA,2013,o3,o3_8h,49,49,green,green
Colwood City Hall,NA,2014,o3,o3_8h,50,50,green,green
Colwood City Hall,NA,2015,o3,o3_8h,49,49,green,green
Colwood City Hall,NA,2016,o3,o3_8h,49,49,green,green
Colwood City Hall,NA,2017,o3,o3_8h,49,49,green,green
Colwood City Hall,NA,2018,o3,o3_8h,50,50,green,green
Colwood City Hall,NA,2019,o3,o3_8h,50,50,green,green
Coquitlam Douglas College,NA,2013,o3,o3_8h,47,47,green,green
Coquitlam Douglas College,NA,2014,o3,o3_8h,49,49,green,green
Coquitlam Douglas College,NA,2015,o3,o3_8h,49,49,green,green
Coquitlam Douglas College,NA,2016,o3,o3_8h,49,49,green,green
Coquitlam Douglas College,NA,2017,o3,o3_8h,48,48,green,green
Coquitlam Douglas College,NA,2018,o3,o3_8h,53,53,yellow,yellow
Coquitlam Douglas College,NA,2019,o3,o3_8h,54,54,yellow,yellow
Courtenay Elementary School,NA,2013,o3,o3_8h,47,47,green,green
Courtenay Elementary School,NA,2014,o3,o3_8h,47,47,green,green
Courtenay Elementary School,NA,2015,o3,o3_8h,47,47,green,green
Courtenay Elementary School,NA,2016,o3,o3_8h,46,46,green,green
Courtenay Elementary School,NA,2017,o3,o3_8h,47,47,green,green
Courtenay Elementary School,NA,2018,o3,o3_8h,47,47,green,green
Courtenay Elementary School,NA,2019,o3,o3_8h,48,48,green,green
Duncan,NA,2013,o3,o3_8h,49,49,green,green
Duncan,NA,2014,o3,o3_8h,50,50,green,green
Duncan,NA,2015,o3,o3_8h,51,51,yellow,yellow
Duncan,NA,2016,o3,o3_8h,51,51,yellow,yellow
Duncan,NA,2017,o3,o3_8h,52,52,yellow,yellow
Duncan,NA,2018,o3,o3_8h,53,53,yellow,yellow
Duncan,NA,2019,o3,o3_8h,53,53,yellow,yellow
Elk Falls Dogwood,NA,2013,o3,o3_8h,45,45,green,green
Elk Falls Dogwood,NA,2014,o3,o3_8h,46,46,green,green
Fort St John Key Learning Centre,NA,2016,o3,o3_8h,54,54,yellow,yellow
Fort St John Key Learning Centre,NA,2017,o3,o3_8h,53,53,yellow,yellow
Fort St John Key Learning Centre,NA,2018,o3,o3_8h,50,50,green,green
Fort St John Key Learning Centre,NA,2019,o3,o3_8h,51,51,yellow,yellow
Hope Airport,NA,2013,o3,o3_8h,54,54,yellow,yellow
Hope Airport,NA,2014,o3,o3_8h,58,58,orange,orange
Hope Airport,NA,2015,o3,o3_8h,61,61,orange,orange
Hope Airport,NA,2016,o3,o3_8h,60,60,orange,orange
Hope Airport,NA,2017,o3,o3_8h,64,59,red,orange
Hope Airport,NA,2018,o3,o3_8h,65,59,red,orange
Hope Airport,NA,2019,o3,o3_8h,65,59,red,orange
Kamloops Federal Building,NA,2015,o3,o3_8h,54,54,yellow,yellow
Kamloops Federal Building,NA,2016,o3,o3_8h,52,52,yellow,yellow
Kamloops Federal Building,NA,2017,o3,o3_8h,53,53,yellow,yellow
Kamloops Federal Building,NA,2018,o3,o3_8h,52,52,yellow,yellow
Kamloops Federal Building,NA,2019,o3,o3_8h,53,53,yellow,yellow
Kamloops Fire Station 2,NA,2013,o3,o3_8h,51,51,yellow,yellow
Kamloops Fire Station 2,NA,2014,o3,o3_8h,51,NA,yellow,NA
Kelowna,NA,2013,o3,o3_8h,60,60,orange,orange
Kelowna,NA,2014,o3,o3_8h,59,59,orange,orange
Kelowna,NA,2015,o3,o3_8h,54,54,yellow,yellow
Kelowna,NA,2016,o3,o3_8h,53,53,yellow,yellow
Kelowna,NA,2017,o3,o3_8h,55,55,yellow,yellow
Kelowna,NA,2018,o3,o3_8h,55,55,yellow,yellow
Kelowna,NA,2019,o3,o3_8h,57,57,orange,orange
Langley Central,NA,2013,o3,o3_8h,49,49,green,green
Langley Central,NA,2014,o3,o3_8h,50,50,green,green
Langley Central,NA,2015,o3,o3_8h,50,50,green,green
Langley Central,NA,2016,o3,o3_8h,50,50,green,green
Langley Central,NA,2017,o3,o3_8h,53,53,yellow,yellow
Langley Central,NA,2018,o3,o3_8h,59,59,orange,orange
Langley Central,NA,2019,o3,o3_8h,59,59,orange,orange
Maple Ridge Golden Ears School,NA,2013,o3,o3_8h,50,50,green,green
Maple Ridge Golden Ears School,NA,2014,o3,o3_8h,51,51,yellow,yellow
Maple Ridge Golden Ears School,NA,2015,o3,o3_8h,53,53,yellow,yellow
Maple Ridge Golden Ears School,NA,2016,o3,o3_8h,53,53,yellow,yellow
Maple Ridge Golden Ears School,NA,2017,o3,o3_8h,58,58,orange,orange
Maple Ridge Golden Ears School,NA,2018,o3,o3_8h,62,62,orange,orange
Mission School Works Yard,NA,2016,o3,o3_8h,54,54,yellow,yellow
Mission School Works Yard,NA,2017,o3,o3_8h,60,60,orange,orange
Mission School Works Yard,NA,2018,o3,o3_8h,66,60,red,orange
Mission School Works Yard,NA,2019,o3,o3_8h,66,61,red,orange
Nanaimo Labieux Road,NA,2013,o3,o3_8h,46,46,green,green
Nanaimo Labieux Road,NA,2014,o3,o3_8h,45,45,green,green
Nanaimo Labieux Road,NA,2015,o3,o3_8h,45,45,green,green
Nanaimo Labieux Road,NA,2016,o3,o3_8h,44,44,green,green
Nanaimo Labieux Road,NA,2017,o3,o3_8h,45,45,green,green
Nanaimo Labieux Road,NA,2018,o3,o3_8h,45,45,green,green
Nanaimo Labieux Road,NA,2019,o3,o3_8h,46,46,green,green
Nelson Kutenai Place,NA,2013,o3,o3_8h,51,51,yellow,yellow
Nelson Kutenai Place,NA,2014,o3,o3_8h,48,48,green,green
Nelson Kutenai Place,NA,2015,o3,o3_8h,46,46,green,green
New Westminster Sapperton Park,NA,2017,o3,o3_8h,47,47,green,green
New Westminster Sapperton Park,NA,2018,o3,o3_8h,48,48,green,green
New Westminster Sapperton Park,NA,2019,o3,o3_8h,48,48,green,green
North Delta,NA,2013,o3,o3_8h,44,44,green,green
North Delta,NA,2014,o3,o3_8h,44,44,green,green
North Delta,NA,2015,o3,o3_8h,44,44,green,green
North Delta,NA,2016,o3,o3_8h,44,44,green,green
North Delta,NA,2017,o3,o3_8h,44,44,green,green
North Delta,NA,2018,o3,o3_8h,45,45,green,green
North Delta,NA,2019,o3,o3_8h,45,45,green,green
North Vancouver Mahon Park,NA,2013,o3,o3_8h,45,45,green,green
North Vancouver Mahon Park,NA,2014,o3,o3_8h,45,45,green,green
North Vancouver Mahon Park,NA,2015,o3,o3_8h,46,46,green,green
North Vancouver Mahon Park,NA,2016,o3,o3_8h,45,45,green,green
North Vancouver Mahon Park,NA,2017,o3,o3_8h,46,46,green,green
North Vancouver Mahon Park,NA,2018,o3,o3_8h,47,47,green,green
North Vancouver Mahon Park,NA,2019,o3,o3_8h,48,48,green,green
North Vancouver Second Narrows,NA,2013,o3,o3_8h,40,40,green,green
North Vancouver Second Narrows,NA,2014,o3,o3_8h,40,40,green,green
North Vancouver Second Narrows,NA,2015,o3,o3_8h,41,41,green,green
North Vancouver Second Narrows,NA,2016,o3,o3_8h,40,40,green,green
North Vancouver Second Narrows,NA,2017,o3,o3_8h,40,40,green,green
North Vancouver Second Narrows,NA,2018,o3,o3_8h,41,41,green,green
Pitt Meadows Meadowlands School,NA,2013,o3,o3_8h,48,48,green,green
Pitt Meadows Meadowlands School,NA,2014,o3,o3_8h,48,48,green,green
Pitt Meadows Meadowlands School,NA,2015,o3,o3_8h,48,48,green,green
Pitt Meadows Meadowlands School,NA,2016,o3,o3_8h,47,47,green,green
Pitt Meadows Meadowlands School,NA,2017,o3,o3_8h,51,51,yellow,yellow
Pitt Meadows Meadowlands School,NA,2018,o3,o3_8h,54,54,yellow,yellow
Pitt Meadows Meadowlands School,NA,2019,o3,o3_8h,56,56,yellow,yellow
Port Moody Rocky Point Park,NA,2013,o3,o3_8h,43,43,green,green
Port Moody Rocky Point Park,NA,2014,o3,o3_8h,44,44,green,green
Port Moody Rocky Point Park,NA,2015,o3,o3_8h,44,44,green,green
Port Moody Rocky Point Park,NA,2016,o3,o3_8h,44,44,green,green
Port Moody Rocky Point Park,NA,2017,o3,o3_8h,46,46,green,green
Port Moody Rocky Point Park,NA,2018,o3,o3_8h,48,48,green,green
Port Moody Rocky Point Park,NA,2019,o3,o3_8h,49,49,green,green
Prince George Plaza 400,NA,2013,o3,o3_8h,53,53,yellow,yellow
Prince George Plaza 400,NA,2014,o3,o3_8h,52,52,yellow,yellow
Prince George Plaza 400,NA,2015,o3,o3_8h,54,54,yellow,yellow
Prince George Plaza 400,NA,2016,o3,o3_8h,53,53,yellow,yellow
Prince George Plaza 400,NA,2017,o3,o3_8h,52,52,yellow,yellow
Prince George Plaza 400,NA,2018,o3,o3_8h,51,51,yellow,yellow
Prince George Plaza 400,NA,2019,o3,o3_8h,51,51,yellow,yellow
Quesnel,NA,2013,o3,o3_8h,53,53,yellow,yellow
Quesnel,NA,2014,o3,o3_8h,54,54,yellow,yellow
Quesnel,NA,2015,o3,o3_8h,54,54,yellow,yellow
Quesnel,NA,2016,o3,o3_8h,52,52,yellow,yellow
Quesnel,NA,2017,o3,o3_8h,50,50,green,green
Quesnel,NA,2018,o3,o3_8h,50,50,green,green
Quesnel,NA,2019,o3,o3_8h,50,50,green,green
Richmond South,NA,2013,o3,o3_8h,46,46,green,green
Richmond South,NA,2014,o3,o3_8h,46,46,green,green
Richmond South,NA,2015,o3,o3_8h,47,47,green,green
Richmond South,NA,2016,o3,o3_8h,46,46,green,green
Richmond South,NA,2017,o3,o3_8h,47,47,green,green
Richmond South,NA,2018,o3,o3_8h,47,47,green,green
Richmond South,NA,2019,o3,o3_8h,48,48,green,green
Rolla 213 Road,NA,2017,o3,o3_8h,50,50,green,green
Rolla 213 Road,NA,2018,o3,o3_8h,50,NA,green,NA
Smithers,NA,2013,o3,o3_8h,54,54,yellow,yellow
Smithers,NA,2016,o3,o3_8h,47,47,green,green
Smithers,NA,2017,o3,o3_8h,48,48,green,green
Smithers,NA,2018,o3,o3_8h,48,48,green,green
Smithers,NA,2019,o3,o3_8h,48,48,green,green
Squamish Elementary,NA,2017,o3,o3_8h,46,46,green,green
Squamish Elementary,NA,2018,o3,o3_8h,48,48,green,green
Squamish Elementary,NA,2019,o3,o3_8h,50,50,green,green
Squamish Gov t Bldg,NA,2013,o3,o3_8h,46,46,green,green
Squamish Gov t Bldg,NA,2014,o3,o3_8h,48,48,green,green
Squamish Gov t Bldg,NA,2015,o3,o3_8h,48,48,green,green
Squamish Gov t Bldg,NA,2016,o3,o3_8h,50,NA,green,NA
Surrey East,NA,2013,o3,o3_8h,48,48,green,green
Surrey East,NA,2014,o3,o3_8h,47,47,green,green
Surrey East,NA,2015,o3,o3_8h,48,48,green,green
Surrey East,NA,2016,o3,o3_8h,47,47,green,green
Surrey East,NA,2017,o3,o3_8h,49,49,green,green
Surrey East,NA,2018,o3,o3_8h,53,53,yellow,yellow
Surrey East,NA,2019,o3,o3_8h,54,54,yellow,yellow
Taylor Lone Wolf Golf Course,NA,2017,o3,o3_8h,51,51,yellow,yellow
Taylor Lone Wolf Golf Course,NA,2018,o3,o3_8h,51,51,yellow,yellow
Taylor Townsite,NA,2019,o3,o3_8h,53,53,yellow,yellow
Terrace Skeena Middle School,NA,2016,o3,o3_8h,45,45,green,green
Terrace Skeena Middle School,NA,2017,o3,o3_8h,45,45,green,green
Terrace Skeena Middle School,NA,2018,o3,o3_8h,46,46,green,green
Terrace Skeena Middle School,NA,2019,o3,o3_8h,45,45,green,green
Tsawwassen,NA,2013,o3,o3_8h,47,47,green,green
Tsawwassen,NA,2014,o3,o3_8h,47,47,green,green
Tsawwassen,NA,2015,o3,o3_8h,47,47,green,green
Tsawwassen,NA,2016,o3,o3_8h,47,47,green,green
Tsawwassen,NA,2017,o3,o3_8h,49,49,green,green
Tsawwassen,NA,2018,o3,o3_8h,49,49,green,green
Tsawwassen,NA,2019,o3,o3_8h,49,49,green,green
Vancouver Clark Drive,NA,2016,o3,o3_8h,42,42,green,green
Vancouver Clark Drive,NA,2017,o3,o3_8h,42,42,green,green
Vancouver Clark Drive,NA,2018,o3,o3_8h,43,43,green,green
Vancouver Clark Drive,NA,2019,o3,o3_8h,43,43,green,green
Vancouver International Airport 2,NA,2013,o3,o3_8h,43,43,green,green
Vancouver International Airport 2,NA,2014,o3,o3_8h,44,44,green,green
Vancouver International Airport 2,NA,2015,o3,o3_8h,45,45,green,green
Vancouver International Airport 2,NA,2016,o3,o3_8h,43,43,green,green
Vancouver International Airport 2,NA,2017,o3,o3_8h,43,43,green,green
